Comarca,Extrem oriental,Extrem occidental,Extrem septentrional,Extrem meridional
Alt Camp,"1° 32' 17,47""","1° 2' 37,75""","41° 28' 47,96""","41° 11' 59,65"""
Alt Empordà,"3° 19' 59,94""","2° 32' 37,13""","42° 29' 0,09""","42° 5' 57,10"""
Alt Penedès,"1° 53' 55,19""","1° 28' 27,65""","41° 30' 52,44""","41° 13' 30,01"""
Alt Urgell,"1° 41' 48,10""","1° 7' 25,85""","42° 32' 40,11""","41° 56' 22,27"""
Alta Ribagorça,"0° 58' 27,80""","0° 41' 30,24""","42° 37' 58,88""","42° 18' 0,07"""
Anoia,"1° 51' 25,61""","1° 21' 42,98""","41° 48' 9,76""","41° 25' 48,23"""
Bages,"2° 10' 23,76""","1° 33' 8,12""","41° 58' 16,91""","41° 35' 31,33"""
Baix Camp,"1° 11' 32,89""","0° 46' 37,52""","41° 21' 14,55""","40° 56' 10,04"""
Baix Ebre,"0° 52' 57,12""","0° 14' 6,96""","41° 0' 57,38""","40° 41' 43,99"""
Baix Empordà,"3° 14' 7,08""","2° 53' 13,71""","42° 8' 24,18""","41° 45' 14,81"""
Baix Llobregat,"2° 8' 54,92""","1° 47' 46,21""","41° 36' 14,56""","41° 15' 53,32"""
Baix Penedès,"1° 39' 12,32""","1° 23' 25,67""","41° 23' 9,95""","41° 10' 28,50"""
Barcelonès,"2° 16' 15,26""","2° 3' 13,17""","41° 29' 37,63""","41° 19' 14,26"""
Berguedà,"2° 4' 17,18""","1° 36' 44,20""","42° 19' 27,72""","41° 53' 57,18"""
Cerdanya,"2° 0' 59,08""","1° 34' 57,72""","42° 30' 20,01""","42° 16' 51,03"""
Conca de Barberà,"1° 28' 37,47""","0° 54' 25,58""","41° 35' 2,23""","41° 18' 22,89"""
Garraf,"1° 56' 41,69""","1° 38' 27,61""","41° 19' 47,84""","41° 11' 38,00"""
Garrigues,"1° 4' 35,94""","0° 34' 54,29""","41° 35' 26,20""","41° 17' 31,16"""
Garrotxa,"2° 46' 53,44""","2° 20' 1,90""","42° 20' 7,35""","42° 0' 50,86"""
Gironès,"2° 59' 18,89""","2° 37' 55,45""","42° 7' 6,23""","41° 45' 32,00"""
Maresme,"2° 46' 45,14""","2° 14' 51,27""","41° 44' 43,29""","41° 27' 42,08"""
Montsià,"0° 52' 57,87""","0° 9' 41, 69""","40° 47' 2,02""","40° 31' 27,56"""
Noguera,"1° 18' 53,80""","0° 33' 46,46""","42° 7' 26,99""","41° 41' 12,70"""
Osona,"2° 30' 29,01""","1° 59' 12,40""","42° 10' 38,55""","41° 43' 39,39"""
Pallars Jussà,"1° 11' 15,37""","0° 40' 49,10""","42° 33' 21,61""","42° 0' 26,11"""
Pallars Sobirà,"1° 26' 42,53""","0° 56' 18,95""","42° 47' 22,85""","42° 15' 37,69"""
Pla d'Urgell,"1° 6' 5,42""","0° 43' 48,09""","41° 44' 31,88""","41° 33' 2,97"""
Pla de l'Estany,"2° 54' 19,72""","2° 38' 17,22""","42° 12' 48,52""","42° 1' 59,10"""
Priorat,"0° 58' 41,87""","0° 39' 36,32""","41° 21' 49,45""","41° 4' 1,01"""
Ribera d'Ebre,"0° 52' 27,93""","0° 22' 2,74""","41° 20' 10,70""","40° 55' 59,37"""
Ripollès,"2° 33' 35,26""","1° 57' 27,27""","42° 26' 24,29""","42° 6' 30,27"""
Segarra,"1° 30' 53,92""","1° 9' 30,15""","41° 55' 42,79""","41° 33' 26,84"""
Segrià,"0° 49' 5,91""","0° 19' 14,77""","41° 51' 19,09""","41° 16' 30,90"""
Selva,"2° 58' 18,95""","2° 24' 28,49""","42° 3' 36,44""","41° 39' 4,42"""
Solsonès,"1° 44' 26,00""","1° 17' 29,33""","42° 12' 42,11""","41° 45' 12,96"""
Tarragonès,"1° 29' 49,67""","1° 5' 43,00""","41° 15' 20,20""","41° 3' 21,04"""
Terra Alta,"0° 34' 20,24""","0° 12' 8,97""","41° 14' 22,05""","40° 49' 1,42"""
Urgell,"1° 13' 16,05""","0° 57' 14,29""","41° 51' 38,94""","41° 28' 6,47"""
Val d'Aran,"1° 2' 20,41""","0° 38' 26,74""","42° 51' 45,97""","42° 35' 24,14"""
Vallès Occidental,"2° 13' 33,23""","1° 51' 44,46""","41° 43' 9,24""","41° 24' 57,29"""
Vallès Oriental,"2° 36' 34,94""","2° 0' 57,37""","41° 48' 34,82""","41° 29' 23,11"""
Catalunya,"3° 19' 59,94""","0° 9' 41,69""","42° 51' 45,97""","40° 31' 27,56"""
Metropolità,"2° 46' 45,14""","1° 47' 46,21""","41º 48' 34,82""","41° 15' 53,32"""
Comarques Gironines,"3° 19' 59,94""","1° 57' 27,27""","42° 29' 0,09""","41° 39' 4,42"""
Camp de Tarragona,"1° 32' 17,47""","0° 39' 36,32""","41° 35' 2,23""","40º 56' 10,04"""
Terres de l'Ebre,"0° 52' 57,87""","0° 9' 41,69""","41° 20' 10,70""","40° 31' 27,56"""
Ponent,"1° 30' 53,92""","0° 19' 14,77""","42° 7' 26,99""","41° 16' 30,90"""
Comarques Centrals,"2º 30' 29,01""","1° 17' 29,33""","42° 19' 27,72""","41° 35' 31,33"""
Alt Pirineu i Aran,"2° 0' 59,08""","0° 38' 26,74""","42° 51' 45,97""","41° 56' 22,27"""
Penedès,"1° 56' 41,69""","1° 21' 42,98""","41° 48' 9,76""","41° 10' 28,50"""
Barcelona,"2° 46' 45,14""","1° 21' 42,98""","42° 19' 27,72""","41° 11' 38,00"""
Girona,"3° 19' 59,94""","1° 43' 32,13""","42° 29' 46,71""","41° 39' 4,42"""
Lleida,"1° 51' 24,20""","0° 19' 14,77""","42° 51' 45,97""","41° 16' 30,90"""
Tarragona,"1° 39' 12,32""","0° 9' 41,69""","41° 35' 2,23""","40° 31' 27,56"""
Lluçanès,"2° 3′ 15,84″ ","1° 57′ 15,84″  ","42° 4′ 39,0″ ","41° 58′ 39,0″"
